,references
18,"Koch, T. et al. Alterations of bacterial clearance induced by endotoxin and tumor necrosis factor. Infect. Immun. 61, 3143–3148 (1993)."
19,"Skorup, P. et al. Beneficial antimicrobial effect of the addition of an aminoglycoside to a beta-lactam antibiotic in an E. coli porcine intensive care severe sepsis model. PLoS ONE 9, e90441. https://doi.org/10.1371/journal.pone.0090441 (2014)."
20,"Kilkenny, C., Browne, W. J., Cuthill, I. C., Emerson, M. & Altman, D. G. Improving bioscience research reporting: The ARRIVE guidelines for reporting animal research. PLoS Biol. 8, e1000412. https://doi.org/10.1371/journal.pbio.1000412 (2010)."
21,"Mebius, R. E. & Kraal, G. Structure and function of the spleen. Nat. Rev. Immunol. 5, 606–616. https://doi.org/10.1038/nri1669 (2005)."
22,"Parker, G. A. & Picut, C. A. Liver immunobiology. Toxicol. Pathol. 33, 52–62. https://doi.org/10.1080/01926230590522365 (2005)."
23,"Yan, J., Li, S. & Li, S. The role of the liver in sepsis. Int. Rev. Immunol. 33, 498–510 (2014)."
24,"Hanslin, K. et al. The impact of the systemic inflammatory response on hepatic bacterial elimination in experimental abdominal sepsis. Intensive Care Med. Exp. 7, 52. https://doi.org/10.1186/s40635-019-0266-x (2019)."
25,"Mayadas, T. N., Cullere, X. & Lowell, C. A. The multifaceted functions of neutrophils. Annu. Rev. Pathol. 9, 181–218. https://doi.org/10.1146/annurev-pathol-020712-164023 (2014)."
26,"Wang, G. Human antimicrobial peptides and proteins. Pharmaceuticals 7, 545–594. https://doi.org/10.3390/ph7050545 (2014)."
27,"Dunkelberger, J. R. & Song, W. C. Complement and its role in innate and adaptive immune responses. Cell Res. 20, 34–50. https://doi.org/10.1038/cr.2009.139 (2010)."
28,"Papareddy, P. et al. Proteolysis of human thrombin generates novel host defense peptides. PLoS Pathog. 6, e1000857. https://doi.org/10.1371/journal.ppat.1000857 (2010)."
29,"Menger, M. D. & Vollmar, B. Surgical trauma: Hyperinflammation versus immunosuppression? Langenbecks Arch. Surg. 389, 475–484. https://doi.org/10.1007/s00423-004-0472-0 (2004)."
30,"Stahel, P. F., Smith, W. R. & Moore, E. E. Role of biological modifiers regulating the immune response after trauma. Injury 38, 1409–1422. https://doi.org/10.1016/j.injury.2007.09.023 (2007)."
31,"Liljedahl Prytz, K. et al. Antibiotic treatment with one single dose of gentamicin at admittance in addition to a β-lactam antibiotic in the treatment of community-acquired bloodstream infection with sepsis. PLoS ONE 15, e0236864. https://doi.org/10.1371/journal.pone.0236864 (2020)."
32,"Sanders, R. D., Hussell, T. & Maze, M. Sedation & immunomodulation. Crit. Care Clin. 25, 551–570 (2009)."
33,"Galley, H., DiMatteo, M. & Webster, N. Immunomodulation by anaesthetic, sedative and analgesic agents: Does it matter? Intensive Care Med. 26, 267–274 (2000)."
34,"Wrigge, H. et al. Effects of mechanical ventilation on release of cytokines into systemic circulation in patients with normal pulmonary function. Anesthesiology 93, 1413–1417 (2000)."
35,"Osuchowski, M. F. et al. Minimum quality threshold in pre-clinical sepsis studies (MQTiPSS): An international expert consensus initiative for improvement of animal modeling in sepsis. Shock 50, 377–380. https://doi.org/10.1097/shk.0000000000001212 (2018)."
36,"Piper, R. D., Cook, D. J., Bone, R. C. & Sibbald, W. J. Introducing Critical Appraisal to studies of animal models investigating novel therapies in sepsis. Crit. Care Med. 24, 2059–2070. https://doi.org/10.1097/00003246-199612000-00021 (1996)."
37,"Laupland, K. B. & Church, D. L. Population-based epidemiology and microbiology of community-onset bloodstream infections. Clin. Microbiol. Rev. 27, 647–664. https://doi.org/10.1128/cmr.00002-14 (2014)."
38,"Rogers, D. E. Host mechanisms which act to remove bacteria from the blood stream. Bacteriol. Rev. 24, 50 (1960)."
